repo,rq1_groundTruthNumberOfTransitiveDeps,rq1_webpackTransitiveDeps,rq1_ourSolutionTransitiveDeps,rq2_baselineLines,rq2_webpackLines,rq2_slicejsLines,rq3_groundTruthLinesOfCode,rq3_webpackLinesOfCode,rq3_ourSolutionLinesOfCode,TDR,DSLOCR,PDSLOCR
basic-auth,358,0,0,76,41,42,52,23,26,358,50.00,55.26
bplist-parser,,,,,,,,,,,,
browserify-zlib,653,0,0,3476,,577,11659,0,0,653,0.00,16.60
clone-deep,,,,,,,,,,,,
compressible,,,,,,,,,,,,
compression,339,0,1,946,565,466,1149,455,368,338,32.03,49.26
contains-path,122,1,1,161,95,84,73,39,30,121,41.10,52.17
cookie-parser,340,0,0,213,149,68,184,14,9,340,4.89,31.92
cookies,,,,,,,,,,,,
cors,279,0,0,176,92,49,138,62,23,279,16.67,27.84
crc32-stream,84,0,0,99,34,79,5922,28,73,84,1.23,79.80
css-to-react-native,505,0,0,541,208,140,543,172,108,505,19.89,25.88
define-property,137,0,1,216,107,100,102,7,7,136,6.86,46.30
doctrine,,,,,,,,,,,,
dom-converter,,,,,,,,,,,,
error-ex,339,0,0,27,18,16,8,3,3,339,37.50,59.26
esquery,372,0,0,638,329,340,650,323,334,372,51.38,53.29
fd-slicer,,,,,,,,,,,,
finalhandler,338,1,1,366,221,154,815,122,50,337,6.13,42.08
for-own,120,0,0,27,18,19,8,3,6,120,75.00,70.37
glob-parent,314,0,1,158,77,25,125,53,4,313,3.20,15.82
global-modules,,,,,,,,,,,,
has-value,137,0,2,265,194,99,120,72,51,135,42.50,37.36
has-values,138,0,0,116,100,19,97,86,7,138,7.22,16.38
hash.js,140,0,0,28,20,17,37,6,5,140,13.51,60.71
hmac-drbg,36,0,0,89,54,49,1329,33,30,36,2.26,55.06
homedir-polyfill,121,0,0,44,32,28,25,17,15,121,60.00,63.64
is-absolute,141,2,2,79,53,48,28,12,11,139,39.29,60.76
is-extendable,138,1,1,43,28,26,18,8,8,137,44.44,60.47
is-glob,121,0,0,30,22,19,11,8,7,121,63.64,63.33
is-relative,140,1,1,33,25,23,8,5,4,139,50.00,69.70
is-unc-path,,,,,,,,,,,,
jest-junit,200,1,1,546,327,231,1975,248,154,199,7.80,42.31
jsonfile,288,0,0,27,23,12,22,0,0,288,0.00,44.44
keygrip,202,0,0,48,28,28,101,10,12,202,11.88,58.33
language-tags,177,0,0,42,,15,0,0,0,177,,35.71
lazy-cache,111,3,3,186,77,81,37,23,22,108,59.46,43.55
levn,,,,,,,,,,,,
md5,183,0,0,159,114,119,124,72,83,183,66.94,74.84
memory-fs,,,,,,,,,,,,
mime-types,318,0,0,25,19,17,1,3,3,318,300.00,68.00
morgan,385,2,2,415,222,186,925,110,65,383,7.03,44.82
mz,63,0,0,84,45,14,234,30,1,63,0.43,16.67
object-copy,,,,,,,,,,,,
object.pick,,,,,,,,,,,,
on-finished,,,,,,,,,,,,
one-time,,,,,,,,,,,,
optionator,,,,,,,,,,,,
parse-filepath,,,,,,,,,,,,
pascalcase,,,,,,,,,,,,
path-root,,,,,,,,,,,,
pinkie-promise,,,,,,,,,,,,
postcss-initial,,,,,,,,,,,,
pretty-error,,,,,,,,,,,,
prop-types,,,,,,,,,,,,
proxy-addr,,,,,,,,,,,,
recursive-readdir,,,,,,,,,,,,
redis-parser,,,,,,,,,,,,
renderkid,,,,,,,,,,,,
request-progress,,,,,,,,,,,,
shallow-clone,,,,,,,,,,,,
simple-swizzle,,,,,,,,,,,,
static-extend,,,,,,,,,,,,
thenify,,,,,,,,,,,,
type-check,,,,,,,,,,,,
ua-parser-js,,,,,,,,,,,,
union-value,,,,,,,,,,,,
unixify,,,,,,,,,,,,
url-parse,,,,,,,,,,,,
warning,,,,,,,,,,,,
wbuf,,,,,,,,,,,,
window-size,,,,,,,,,,,,
zip-stream,,,,,,,,,,,,
